cod_ga,program,type_course,name_type_course,state,subtitle,claim,start,end,duration,hours,price,price_2,format,ceus,idioma,language,dscto_header,dscto_footer,end_dscto,hubs,call,brochure,img_home,url_web,url_landing,url_pay,cod_pay
,PROGRAMA DE ALTA DIRECIÓN,,,,,,,,,,,,,,,,,,,,,,,,,,
GCO,Global CEO,cxo,Programa en Alta Dirección,A,,,8/05/2024,,16 meses (flexible),,"USD 14,500","281,000 MXN",Blended,,Español,es-ES,Plazas limitadas. Inscríbete ahora,A un solo paso de dar el gran salto en tu carrera profesional,El momento en el que tu carrera cambiará para siempre,all_prog best_prog new_prog c_suite mkt inno md_set mgmt finan,https://calendly.com/global-ceo-spanish-enrollments/ita-gco-esp,https://image.info.globalalumni.org/lib/fe28117371640475721276/m/1/eb62937d-b661-416a-8e7e-be760785a7cd.pdf,https://itamdigitalexed.org/assets/img/cxo/gco/home-cxo-ceo-768x339.webp,https://digitalexed.itam.mx/global-ceo/,https://itamdigitalexed.org/es/certificados-cxo/global-ceo-esp.html,https://programas.itamdigitalexed.org/?locale=es&program_sfid=01tRC000000z6ZxYAI,166
,PROGAMA ONLINE,,,,,,,,,,,,,,,,,,,,,,,,,,
GCS,Cadena de Suministros y Logística Empresarial,op,Programa Online,A,,"Prepárate para afrontar los nuevos retos del sector y lidera la transformación de la logística comercial, operativa y financiera",6/08/2024,,8 semanas,5-6 horas semanales,"1,590 USD","32,500 MXN",Online,,Español,es-ES,Diseña la red logística ideal para tu empresa y optimiza tus recursos,,,all_prog best_prog new_prog   inno  mgmt ,https://calendly.com/itam-open-enrollments-spanish-team/ita-gcs-esp,https://image.info.globalalumni.org/lib/fe28117371640475721276/m/1/1dc263de-f009-4586-9050-13616bb0f7cc.pdf,https://itamdigitalexed.org/assets/img/op/gcs/home-gcs-768x339.webp,https://digitalexed.itam.mx/cadena-suministros-logistica-empresarial/,https://programas.itamdigitalexed.org/cadena-suministros-logistica-empresarial,https://programas.itamdigitalexed.org/?locale=es&program_sfid=01tRC000000zFWnYAM,172
IAN,Inteligencia Artificial Aplicada a los Negocios,op,Programa Online,A,,Libera todo el potencial de la Inteligencia Artificial y convierte tus datos en una poderosa ventaja competitiva,6/08/2024,,8 semanas,5-6 horas semanales,"1,590 USD","32,500 MXN",Online,,Español,es-ES,Descubre las claves para dominar las herramientas de Inteligencia Artificial y aumentar el potencial de tu empresa,,,all_prog best_prog new_prog      ,https://calendly.com/itam-open-enrollments-spanish-team/ita-ian-esp,https://image.info.globalalumni.org/lib/fe28117371640475721276/m/1/40946f16-a9bf-49d8-94df-939543e40b0a.pdf,https://itamdigitalexed.org/assets/img/op/ian/home-ian-768x339.webp,https://digitalexed.itam.mx/inteligencia-artificial-aplicada-negocios/,https://programas.itamdigitalexed.org/inteligencia-artificial-aplicada-negocios,https://programas.itamdigitalexed.org/?locale=es&program_sfid=01tRC000000zFjhYAE,171
PRM,Dynamic Pricing Strategy,op,Programa Online,A,,Marca la diferencia en el mercado con una nueva estrategia de precios ,6/08/2024,,8 semanas,5-6 horas semanales,"1,590 USD","32,500 MXN",Online,,Español,es-ES,Domina los nuevos modelos de fijación de precios,,,all_prog best_prog new_prog  mkt inno   ,https://calendly.com/itam-open-enrollments-spanish-team/ita-prm-esp,https://image.info.globalalumni.org/lib/fe28117371640475721276/m/1/18853f24-5c0e-465c-81d8-9a34bb77e8b6.pdf,https://itamdigitalexed.org/assets/img/op/prm/home-prm-768x339.webp,https://digitalexed.itam.mx/dynamic-pricing-strategy/,https://programas.itamdigitalexed.org/dynamic-pricing-strategy-esp,https://programas.itamdigitalexed.org/?locale=es&program_sfid=01tRC000001aBZ3YAM,174
TRI,Tributación Internacional,op,Programa Online,A,,Lidera el departamento fiscal de tu organización y diseña estrategias tributarias óptimas,6/08/2024,,8 semanas,5-6 horas semanales,"1,590 USD","32,500 MXN",Online,,Español,es-ES,Domina la gestión fiscal a nivel experto ,,,all_prog best_prog new_prog      finan,https://calendly.com/itam-open-enrollments-spanish-team/ita-tri-esp,https://image.info.globalalumni.org/lib/fe28117371640475721276/m/1/fc03709a-f5d7-441f-ba6b-137f38e2fe30.pdf,https://itamdigitalexed.org/assets/img/op/tri/home-tri-768x339.webp,https://digitalexed.itam.mx/tributacion-internacional/,https://programas.itamdigitalexed.org/tributacion-internacional,https://programas.itamdigitalexed.org/?locale=es&program_sfid=01tRC000001aC3hYAE,173
AEC,Administración Estratégica de Costos,op,Programa Online,A,,Aprende a integrar información operativa y estratégica en tus decisiones para mejorar tus resultados financieros,6/08/2024,,8 semanas,5-6 horas semanales,"1,590 USD","32,500 MXN",Online,,Español,es-ES,Analiza el impacto de tus decisiones financieras,,,all_prog best_prog      mgmt finan,https://calendly.com/itam-open-enrollments-spanish-team/ita-aec-esp,https://image.info.globalalumni.org/lib/fe28117371640475721276/m/1/dc053c4a-5229-487c-b867-e0b2a16a29e1.pdf,https://itamdigitalexed.org/assets/img/op/aec/home-aec-768x339.webp,https://digitalexed.itam.mx/administracion-estrategica-de-costos/,https://programas.itamdigitalexed.org/administracion-estrategica-costos,https://programas.itamdigitalexed.org/?locale=es&program_sfid=01tRC000000zDbTYAU,152
ACI,Auditoría y Control Interno,op,Programa Online,A,,Gestiona la situación actual y pasada de tu negocio y prevé riesgos,6/08/2024,,8 semanas,5-6 horas semanales,"1,590 USD","32,500 MXN",Online,,Español,es-ES,Adelántate y prevé riesgos financieros en tu organización,,,all_prog best_prog      mgmt finan,https://calendly.com/itam-open-enrollments-spanish-team/ita-aci-esp,https://image.info.globalalumni.org/lib/fe28117371640475721276/m/1/56db4a2b-6621-4872-a838-092dde477ff3.pdf,https://itamdigitalexed.org/assets/img/op/aci/home-aci-768x339.webp,https://digitalexed.itam.mx/auditoria-y-control-interno/,https://programas.itamdigitalexed.org/auditoria-control-interno,https://programas.itamdigitalexed.org/?locale=es&program_sfid=01tRC000000zGUTYA2,155
CDH,Competencias Directivas en Health Management,op,Programa Online,A,,Optimiza los procesos de tu institución aplicando las últimas tendencias en medicina,6/08/2024,,8 semanas,5-6 horas semanales,"1,590 USD","32,500 MXN",Online,,Español,es-ES,Lidera la innovación en el sector de la salud,,,all_prog best_prog    inno  mgmt ,https://calendly.com/itam-open-enrollments-spanish-team/ita-cdh-esp,https://image.info.globalalumni.org/lib/fe28117371640475721276/m/1/63e9043f-023d-4d88-9e99-6119b0015700.pdf,https://itamdigitalexed.org/assets/img/op/cdh/home-cdh-768x339.webp,https://digitalexed.itam.mx/competencias-directivas-en-health-management/,https://programas.itamdigitalexed.org/competencias-directivas-health-management,https://programas.itamdigitalexed.org/?locale=es&program_sfid=01tRC000000zGO2YAM,153
CAP,Comunicación Asertiva y Persuasiva,op,Programa Online,A,,Las palabras importan. Potencia tu carrera con nuevas competencias en comunicación y construye mensajes eficaces para lograr tus objetivosa,6/08/2024,,8 semanas,5-6 horas semanales,"1,590 USD","32,500 MXN",Online,,Español,es-ES,"No es solo lo que dices, es cómo lo dices ",,,all_prog best_prog     md_set  ,https://calendly.com/itam-open-enrollments-spanish-team/ita-cap-esp,https://image.info.globalalumni.org/lib/fe28117371640475721276/m/1/4a2883df-c0ac-4a86-bc2c-bb8deb106dc6.pdf,https://itamdigitalexed.org/assets/img/op/cap/home-cap-768x339.webp,https://digitalexed.itam.mx/comunicacion-asertiva-persuasiva/,https://programas.itamdigitalexed.org/comunicacion-asertiva-persuasiva,https://programas.itamdigitalexed.org/?locale=es&program_sfid=01tRC000000zENqYAM,169
GEF,Gestión Financiera Empresarial,op,Programa Online,A,,Extrae el valor financiero de tu negocio y aprende a tomar decisiones analíticas e inteligentes,6/08/2024,,8 semanas,,"1,590 USD","32,500 MXN",Online,,Español,es-ES,Enfoca tu estrategia financiera a tus objetivos empresariales,,,all_prog best_prog      mgmt finan,https://calendly.com/itam-open-enrollments-spanish-team/ita-gef-esp,https://image.info.globalalumni.org/lib/fe28117371640475721276/m/1/6a8f1d49-f3fb-457e-bc43-4c0b8a39bd53.pdf,https://itamdigitalexed.org/assets/img/op/gef/home-gef-768x339.webp,https://digitalexed.itam.mx/gestion-financiera-empresarial/,https://programas.itamdigitalexed.org/gestion-financiera-empresarial,https://programas.itamdigitalexed.org/?locale=es&program_sfid=01tRC000000zGxVYAU,151
TDO,Gestión y Liderazgo Empresarial en la Era Digital,op,Programa Online,A,,Conecta con el mayor número de oportunidades de negocio en el mundo impulsando tu desarrollo digital.,6/08/2024,,8 semanas,5-6 horas semanales,"1,590 USD","32,500 MXN",Online,,Español,es-ES,Lidera con las últimas tendencias en digitalización empresarial,,,all_prog best_prog    inno md_set  ,https://calendly.com/itam-open-enrollments-spanish-team/ita-tdo-esp,https://image.info.globalalumni.org/lib/fe28117371640475721276/m/1/417304af-5797-49e9-9fff-855828cdf005.pdf,https://itamdigitalexed.org/assets/img/op/tdo/home-tdo-768x339.webp,https://digitalexed.itam.mx/gestion-y-liderazgo-empresarial-en-la-era-digital/,https://programas.itamdigitalexed.org/gestion-liderazgo-empresarial-era-digital,https://programas.itamdigitalexed.org/?locale=es&program_sfid=01tRC000000zGcXYAU,154
IET,Ingeniería de los Equipos de Trabajo,op,Programa Online,A,,Impulsa y refuerza la motivación de tus equipos de trabajo y lidéralos hacia el éxito.,6/08/2024,,8 semanas,5-6 horas semanales,"1,590 USD","32,500 MXN",Online,,Español,es-ES,Transforma tu liderazgo y el futuro de tu empresa gestionando mejores equipos,,,all_prog best_prog    inno  mgmt ,https://calendly.com/itam-open-enrollments-spanish-team/ita-iet-esp,https://image.info.globalalumni.org/lib/fe28117371640475721276/m/1/13a95d6d-a448-4694-bb0e-b65c6cf84ba0.pdf,https://itamdigitalexed.org/assets/img/op/iet/home-iet-768x339.webp,https://digitalexed.itam.mx/ingenieria-en-los-equipos-de-trabajo/,https://programas.itamdigitalexed.org/ingenieria-equipos-trabajo,https://programas.itamdigitalexed.org/?locale=es&program_sfid=01tRC000000zHOvYAM,149
MAN,Marketing Analytics,op,Programa Online,A,,Identifica los insights de marketing y lidera las estrategias basadas en data analytics ,6/08/2024,,8 semanas,5-6 horas semanales,"1,590 USD","32,500 MXN",Online,,Español,es-ES,Analiza los datos y encuentra insights de valor para optimizar tus resultados,,,all_prog best_prog   mkt    ,https://calendly.com/itam-open-enrollments-spanish-team/ita-man-esp,https://image.info.globalalumni.org/lib/fe28117371640475721276/m/1/c096c0a0-e8e2-41ca-8529-ad5c67dd090f.pdf,https://itamdigitalexed.org/assets/img/op/man/home-man-768x339.webp,https://digitalexed.itam.mx/marketing-analytics/,https://programas.itamdigitalexed.org/marketing-analytics-esp,https://programas.itamdigitalexed.org/?locale=es&program_sfid=01tRC000000zGELYA2,163
MKD,Marketing Digital 360º,op,Programa Online,A,,"Da un giro completo a tus estrategias, alcanza a tu público objetivo y únete a la revolución de la nueva era digital.",6/08/2024,,8 semanas,5-6 horas semanales,"1,590 USD","32,500 MXN",Online,,Español,es-ES,Diseña tu estrategia de mercadotecnia integral con Markplan,,,all_prog best_prog   mkt    ,https://calendly.com/itam-open-enrollments-spanish-team/ita-md3-esp,https://image.info.globalalumni.org/lib/fe28117371640475721276/m/1/066c33a7-123f-486a-96b3-719a6f00a6b4.pdf,https://itamdigitalexed.org/assets/img/op/md3/home-md3-768x339.webp,https://digitalexed.itam.mx/marketing-digital-360/,https://programas.itamdigitalexed.org/marketing-digital-360,https://programas.itamdigitalexed.org/?locale=es&program_sfid=01tRC000000z9b5YAA,148
PDT,Pensamiento Disruptivo para la Toma Estratégica De Decisiones,op,Programa Online,A,,La decisión correcta podría hacerte ganar la partida. Atrévete a pensar diferente en tus estrategias.,6/08/2024,,8 semanas,5-6 horas semanales,"1,590 USD","32,500 MXN",Online,,Español,es-ES,¿Te atreves a pensar distinto? destaca con estrategias disruptivas,,,all_prog best_prog     md_set  ,https://calendly.com/itam-open-enrollments-spanish-team/ita-pdt-esp,https://image.info.globalalumni.org/lib/fe28117371640475721276/m/1/5b26614f-ce53-4f36-8f4f-23400e0b9b26.pdf,https://itamdigitalexed.org/assets/img/op/pdt/home-pdt-768x339.webp,https://digitalexed.itam.mx/pensamiento-disruptivo-en-la-toma-estrategica-de-decisiones/,https://programas.itamdigitalexed.org/pensamiento-disruptivo-toma-estrategica-decisiones,https://programas.itamdigitalexed.org/?locale=es&program_sfid=01tRC000000zHITYA2,150
EYS,Sustentabilidad en Negocios: Herramientas y Estrategias,op,Programa Online,A,,"Lidera la evolución en tu empresa, aplica criterios de sustentabilidad y realiza un uso responsable de los recursos disponibles.",6/08/2024,,8 semanas,5-6 horas semanales,"1,590 USD","32,500 MXN",Online,,Español,es-ES,Consigue una organización rentable sin comprometer el medio ambiente,,,all_prog best_prog    inno md_set  ,https://calendly.com/itam-open-enrollments-spanish-team/ita-eys-esp,https://image.info.globalalumni.org/lib/fe28117371640475721276/m/1/e1f39c22-0abd-433d-bcc2-300972196bdd.pdf,https://itamdigitalexed.org/assets/img/op/eys/home-eys-768x339.webp,https://digitalexed.itam.mx/sustentabilidad-en-negocios-herramientas-y-estrategias/,https://programas.itamdigitalexed.org/sustentabilidad-negocios-herramientas-estrategias,https://programas.itamdigitalexed.org/?locale=es&program_sfid=01tRC000000zBucYAE,156
VDD,Visualización de Datos para la Toma de Decisiones,op,Programa Online,A,,"Sumérgete entre las tendencias, valores y patrones de los datos para su representación",6/08/2024,,8 semanas,5-6 horas semanales,"1,590 USD","32,500 MXN",Online,,Español,es-ES,Descubre las herramientas clave de visualización de datos para optimizar tus comunicaciones y decisiones,,,all_prog best_prog    inno   ,https://calendly.com/itam-open-enrollments-spanish-team/ita-vdd-esp,https://image.info.globalalumni.org/lib/fe28117371640475721276/m/1/38c36bd2-89e4-402f-8240-a8a5a687024c.pdf,https://itamdigitalexed.org/assets/img/op/vdd/home-vdd-768x339.webp,https://digitalexed.itam.mx/visualizacion-de-datos-para-la-toma-de-decisiones/,https://programas.itamdigitalexed.org/visualizacion-datos-toma-decisiones,https://programas.itamdigitalexed.org/?locale=es&program_sfid=01tRC000000zACBYA2,164