cod-ga,program,subtitle,type_course,name_type_course,state,start,end,duration,hours,price,cand_fee,format,ceus,idioma,languaje,dscto_header,dscto_footer,end_dscto,hubs,round_1,round_2,round_3,price_r1,price_r2,price_r2,call,brochure,url_pay,img_home,url_web,url_landing,cod_pay,holiday
CEN,Clean Energy Solutions:,Technological Change to Meet Emissions Reduction Targets,op,Online Program,A,25/4/2023,20/6/2023,8 weeks,8-10 hours of effort per week,"US$2,900 *",,Online,7.2,English,en-US,*Sign up before XXX and receive 5% off!,Register now! Receive 5% off for a limited time only,11/4/2023,all_prog best_prog    ene_sus    ,,,,,,,https://meetings.hubspot.com/marketing-ga/mpe-cen-eng,https://cta-redirect.hubspot.com/cta/redirect/3391024/b39f7dfd-098f-4cd2-ab37-4df59bfab043,https://professionalprogramsmit.com/gateway/en/115/runway/order,/images/programs/op/cen/home-op-clean-energy-solutions-cen-768x339.webp,/online-program-clean-energy-solutions/,https://professionalprogramsmit.com/en/online-program-clean-energy-solutions-cen-eng.html,115,
CD,Cloud & DevOps:,Continuous Transformation,op,Online Program,A,25/4/2023,20/6/2023,8 weeks,8-10 hours of effort per week,"US$2,900 *",,Online,7.8,English,en-US,*Sign up before XXX and receive 5% off!,Register now! Receive 5% off for a limited time only,11/4/2023,all_prog    digi_tra    tech ,,,,,,,https://meetings.hubspot.com/marketing-ga/mpe-cd-eng,https://cta-redirect.hubspot.com/cta/redirect/3391024/549d2ee2-3d8d-4f43-a53d-633f726330de,https://professionalprogramsmit.com/gateway/en/60/runway/order,/images/programs/op/cd/home-op-cloud-and-devops-cd-768x339.webp,/online-program-cloud-devops-continuous-transformation/,https://professionalprogramsmit.com/en/online-program-cloud-and-devops-cd-eng.html,60,
BCA,Cultural Awareness,for Global Business,op,Online Program,A,25/4/2023,30/5/2023,5 weeks,4 hours of effort per week,US$950 *,,Online,2,English,en-US,*Sign up before XXX and receive 5% off!,Register now! Receive 5% off for a limited time only,11/4/2023,all_prog best_prog      lead_com  ,,,,,,,https://meetings.hubspot.com/marketing-ga/mpe-bca-eng,https://cta-redirect.hubspot.com/cta/redirect/3391024/695cf6d6-bf6e-4d69-a95b-06d536ad6e7e,https://professionalprogramsmit.com/gateway/en/109/runway/order,/images/programs/op/bca/home-op-cultural-awareness-bca-768x339.webp,/online-program-in-cultural-awareness-for-global-business/,https://professionalprogramsmit.com/en/online-program-cultural-awareness-bca-eng.html,109,
DAT,Data Leadership,"Transforming the Corporation’s Operations, Management, and Mindset to Leverage Data, AI, and Cloud Computing",op,Online Program,A,25/4/2023,20/6/2023,8 weeks,8-10 hours of effort per week,"US$2,900 *",,Online,6.4,English,en-US,*Sign up before XXX and receive 5% off!,Register now! Receive 5% off for a limited time only,11/4/2023,all_prog best_prog   digi_tra    tech ,,,,,,,https://meetings.hubspot.com/marketing-ga/mpe-dat-eng,https://cta-redirect.hubspot.com/cta/redirect/3391024/c9327e61-c08f-4eef-a4f9-3374123cd9eb,https://professionalprogramsmit.com/gateway/en/125/runway/order,/images/programs/op/dat/home-op-data-leadership-dat-768x339.webp,/online-program-data-leadership/,https://professionalprogramsmit.com/en/online-program-data-leadership-dat-eng.html,125,
DIF,Designing High-Impact Solutions with MITdesignX,,op,Online Program,A,6/7/2023,31/8/2023,8 weeks,8-10 hours of effort per week,"US$2,900 *",,Online,6.4,English,en-US,*Enroll now with a 15% discount. Only until  XXX,Benefit from 15% off early enrollment registration,4/4/2023,all_prog best_prog     inno   ,,,,,,,https://meetings.hubspot.com/marketing-ga/mpe-dif-eng,https://cta-redirect.hubspot.com/cta/redirect/3391024/19c06a10-cee7-4118-b5a9-b05685b599d5,https://professionalprogramsmit.com/gateway/en/103/runway/order,/images/programs/op/dif/home-op-designing-high-impact-solutions-dif-768x339.webp,/online-program-designing-impactful-solutions/,https://professionalprogramsmit.com/en/online-program-designing-high-impact-solutions-dif-eng.html,103,
DPF,Designing Product Families:,From Strategy to Implementation,op,Online Program,A,6/7/2023,31/8/2023,8 weeks,8-10 hours of effort per week,"US$2,900 *",,Online,6.4,English,en-US,*Enroll now with a 15% discount. Only until  XXX,Benefit from 15% off early enrollment registration,4/4/2023,all_prog   des_man      ,,,,,,,https://meetings.hubspot.com/marketing-ga/mpe-dpf-eng,https://cta-redirect.hubspot.com/cta/redirect/3391024/4712cdc2-53ed-4e17-b191-74055d68de4d,https://professionalprogramsmit.com/gateway/en/98/runway/order,/images/programs/op/dpf/home-op-designing-product-families-dpf-768x339.webp,/online-program-designing-product-families-from-strategy-to-implementation/,https://professionalprogramsmit.com/en/online-program-designing-product-families-dpf-eng.html,98,
TSM,Digital Platforms,Designing Two-Sided Markets from APIs to Feature Roadmaps,op,Online Program,A,25/4/2023,20/6/2023,8 weeks,8-10 hours of effort per week,"US$2,900 *",,Online,6.4,English,en-US,*Sign up before XXX and receive 5% off!,Register now! Receive 5% off for a limited time only,11/4/2023,all_prog best_prog     inno  tech ,,,,,,,https://meetings.hubspot.com/marketing-ga/mpe-tsm-eng,https://cta-redirect.hubspot.com/cta/redirect/3391024/843cdfd4-e32f-4ad1-84f3-f10b26da8766,https://professionalprogramsmit.com/gateway/en/107/runway/order,/images/programs/op/tsm/home-op-digital-platforms-tsm-768x339.webp,/online-program-digital-platforms/,https://professionalprogramsmit.com/en/online-program-digital-platforms-tsm-eng.html,107,
DTR,Digital Transformation: ,"From AI and IoT to Cloud, Blockchain, and Cybersecurity",op,Online Program,A,25/4/2023,20/6/2023,8 weeks,8-10 hours of effort per week,"US$2,900 *",,Online,7,English,en-US,*Sign up before XXX and receive 5% off!,Register now! Receive 5% off for a limited time only,11/4/2023,all_prog    digi_tra  inno  tech ,,,,,,,https://meetings.hubspot.com/marketing-ga/mpe-dtr-eng,https://cta-redirect.hubspot.com/cta/redirect/3391024/c3fc0c31-12da-415f-9837-fea4b92ac334,https://professionalprogramsmit.com/gateway/en/77/runway/order,/images/programs/op/dtr/home-op-digital-transformation-dtr-768x339.webp,/online-program-digital-transformation/,https://professionalprogramsmit.com/en/online-program-digital-transformation-dtr-eng.html,77,
IOT,Industrial Internet of Things:,From Theory to Applications,op,Online Program,A,6/7/2023,7/9/2023,9 weeks,8-10 hours of effort per week,"US$2,900 *",,Online,7.2,English,en-US,*Enroll now with a 15% discount. Only until  XXX,Benefit from 15% off early enrollment registration,4/4/2023,all_prog   des_man     tech ,,,,,,,https://meetings.hubspot.com/marketing-ga/mpe-iot-eng,https://cta-redirect.hubspot.com/cta/redirect/3391024/db2a39bc-aa3b-4834-b973-ade55c93ac43,https://professionalprogramsmit.com/gateway/en/101/runway/order,/images/programs/op/iot/home-op-industrial-internet-of-things-iot-768x339.webp,/online-program-internet-of-things/,https://professionalprogramsmit.com/en/online-program-industrial-internet-of-things-iot-eng.html,101,
ISH,Innovation and Technology,,op,Online Program,A,25/4/2023,20/6/2023,8 weeks,8-10 hours of effort per week,"US$2,900 *",,Online,6.4,English,en-US,*Sign up before XXX and receive 5% off!,Register now! Receive 5% off for a limited time only,11/4/2023,all_prog best_prog     inno   ,,,,,,,https://meetings.hubspot.com/marketing-ga/mpe-ish-eng,https://cta-redirect.hubspot.com/cta/redirect/3391024/7931eb28-782c-42d8-a9d7-37c76f8aa142,https://professionalprogramsmit.com/gateway/en/53/runway/order,/images/programs/op/ish/home-op-innovation-and-technology-ish-768x339.webp,/online-program-innovation-and-technology/,https://professionalprogramsmit.com/en/online-program-innovation-and-technology-ish-eng.html,53,
ISH,Innovation,From Mind to Market,op,Online Program,PP,25/4/2023,20/6/2023,8 weeks,8-10 hours of effort per week,"US$2,900 *",,Online,6.4,English,en-US,*Sign up before XXX and receive 5% off!,Register now! Receive 5% off for a limited time only,11/4/2023,all_prog best_prog     inno lead_com  ,,,,,,,https://meetings.hubspot.com/marketing-ga/mpe-ish-eng,https://cta-redirect.hubspot.com/cta/redirect/3391024/7931eb28-782c-42d8-a9d7-37c76f8aa142,https://professionalprogramsmit.com/gateway/en/53/runway/order,/images/programs/op/ish/home-op-innovation-and-technology-ish-768x339.webp,/online-program-innovation-and-technology/,https://professionalprogramsmit.com/en/online-program-innovation-and-technology-ish-eng.html,53,
LDI,Leadership & Innovation,,op,Online Program,A,25/4/2023,20/6/2023,8 weeks,8-10 hours of effort per week,"US$2,900 *",,Online,6.8,English,en-US,*Sign up before XXX and receive 5% off!,Register now! Receive 5% off for a limited time only,11/4/2023,all_prog best_prog     inno lead_com  ,,,,,,,https://meetings.hubspot.com/marketing-ga/mpe-ldi-eng,https://cta-redirect.hubspot.com/cta/redirect/3391024/0e4e8616-a748-40cb-b558-30edeb92ff9e,https://professionalprogramsmit.com/gateway/en/82/runway/order,/images/programs/op/ldi/home-op-leadership-and-innovation-ldi-768x339.webp,/online-program-leadership-and-innovation/,https://professionalprogramsmit.com/en/online-program-leadership-and-innovation-ldi-eng.html,82,
LCA,Life Cycle Assessment:,Quantifying Environmental Impacts ,op,Online Program,A,25/4/2023,20/6/2023,8 weeks,8-10 hours of effort per week,"US$2,900 *",,Online,6.4,English,en-US,*Sign up before XXX and receive 5% off!,Register now! Receive 5% off for a limited time only,11/4/2023,all_prog best_prog    ene_sus    ,,,,,,,https://meetings.hubspot.com/marketing-ga/mpe-lca-eng,https://cta-redirect.hubspot.com/cta/redirect/3391024/e3f669a1-4e78-4e57-8746-5e740b5bbd19,https://professionalprogramsmit.com/gateway/en/91/runway/order,/images/programs/op/lca/home-op-life-cycle-assessment-lca-768x339.webp,/online-program-life-cycle-assessment/,https://professionalprogramsmit.com/en/online-program-life-cycle-assessment-lca-eng.html,91,
MLT,Machine Learning:,From Data to Decisions,op,Online Program,A,25/4/2023,20/6/2023,8 weeks,8-10 hours of effort per week,"US$2,900 *",,Online,6.4,English,en-US,*Sign up before XXX and receive 5% off!,Register now! Receive 5% off for a limited time only,11/4/2023,all_prog    digi_tra    tech ,,,,,,,https://meetings.hubspot.com/marketing-ga/mpe-mlt-eng,https://cta-redirect.hubspot.com/cta/redirect/3391024/e28b3b91-b9fa-44f8-857e-d0b921c0255d,https://professionalprogramsmit.com/gateway/en/87/runway/order,/images/programs/op/mlt/home-op-machine-learning-mlt-768x339.webp,/online-program-machine-learning/,https://professionalprogramsmit.com/en/online-program-machine-learning-mlt-eng.html,87,
MOT,Management of Technology:,Roadmapping & Development,op,Online Program,A,25/4/2023,27/6/2023,9 weeks,8-10 hours of effort per week,"US$2,900 *",,Online,7.2,English,en-US,*Enroll now with a 20% discount. Only until  XXX,Benefit from 20% off early enrollment registration,11/4/2023,all_prog best_prog  des_man digi_tra     ,,,,,,,https://meetings.hubspot.com/marketing-ga/mpe-mot-eng,https://cta-redirect.hubspot.com/cta/redirect/3391024/e29e9abc-81b9-4d72-8e7b-693dbcde5cf6,https://professionalprogramsmit.com/gateway/en/66/runway/order,/images/programs/op/mot/home-op-management-of-technology-mot-768x339.webp,/online-program-management-of-technology/,https://professionalprogramsmit.com/en/online-program-management-of-technology-roadmapping-and-development-mot-eng.html,66,
MOS,Management of Technology:,Strategy & Portfolio Analysis,op,Online Program,B,25/4/2023,27/6/2023,9 weeks,8-10 hours of effort per week,"US$2,900 *",,Online,7.2,English,en-US,*Sign up before XXX and receive 5% off!,Register now! Receive 5% off for a limited time only,11/4/2023,all_prog   des_man      ,,,,,,,https://meetings.hubspot.com/marketing-ga/mpe-mos-eng,https://cta-redirect.hubspot.com/cta/redirect/3391024/60aa97e9-2729-4889-b27a-33300f1aa779,https://professionalprogramsmit.com/gateway/en/159/runway/order,/images/programs/op/mos/home-op-management-of-technology-mos-768x339.webp,/online-program-management-of-technology-strategy-and-portfolio-analysis/,https://professionalprogramsmit.com/en/online-program-management-of-technology-strategy-and-portfolio-analysis-mos-eng.html,159,
NSE,New Space Economy:,"Technologies, Products, Services, and Business Models",op,Online Program,A,25/4/2023,20/6/2023,8 weeks,8-10 hours of effort per week,"US$2,900 *",,Online,7.2,English,en-US,*Sign up before XXX and receive 5% off!,Register now! Receive 5% off for a limited time only,11/4/2023,all_prog best_prog     inno  tech ,,,,,,,https://meetings.hubspot.com/marketing-ga/mpe-nse-eng,https://cta-redirect.hubspot.com/cta/redirect/3391024/3453bd02-4a97-43ef-a7bf-474351c5b0ea,https://professionalprogramsmit.com/gateway/en/95/runway/order,/images/programs/op/nse/home-op-new-space-economy-nse-768x339.webp,/online-program-new-space-economy/,https://professionalprogramsmit.com/en/online-program-new-space-economy-nse-eng.html,95,
PC,Persuasive Communication,Critical Thinking to Enhance your Message,op,Online Program,A,25/4/2023,27/6/2023,9 weeks,8-10 hours of effort per week,"US$2,900 *",,Online,7.2,English,en-US,*Sign up before XXX and receive 5% off!,Register now! Receive 5% off for a limited time only,11/4/2023,all_prog best_prog      lead_com  ,,,,,,,https://meetings.hubspot.com/marketing-ga/mpe-pc-eng,https://cta-redirect.hubspot.com/cta/redirect/3391024/f3bc6e64-56cd-4f9d-88db-8779a9f597fd,https://professionalprogramsmit.com/gateway/en/69/runway/order,/images/programs/op/pc/home-op-persuasive-communication-pc-768x339.webp,/online-program-persuasive-communication/,https://professionalprogramsmit.com/en/online-program-persuasive-communication-pc-eng.html,69,
SMO,Smart Manufacturing:,Moving From Static to Dynamic Manufacturing Operations,op,Online Program,A,25/4/2023,4/7/2023,10 weeks,8-10 hours of effort per week,"US$2,900 *",,Online,8,English,en-US,*Sign up before XXX and receive 5% off!,Register now! Receive 5% off for a limited time only,11/4/2023,all_prog   des_man      ,,,,,,,https://meetings.hubspot.com/marketing-ga/mpe-smo-eng,https://cta-redirect.hubspot.com/cta/redirect/3391024/28eed16b-38ae-4c6d-acc3-89a6ee170055,https://professionalprogramsmit.com/gateway/en/113/runway/order,/images/programs/op/smo/home-op-smart-manufacturing-smo-768x339.webp,/online-program-smart-manufacturing,https://professionalprogramsmit.com/en/online-program-smart-manufacturing-smo-eng.html,113,
SUS,Sustainability:,Strategies and Opportunities for Industry,op,Online Program,A,25/4/2023,20/6/2023,8 weeks,8-10 hours of effort per week,"US$2,900 *",,Online,6.4,English,en-US,*Sign up before XXX and receive 5% off!,Register now! Receive 5% off for a limited time only,11/4/2023,all_prog best_prog    ene_sus    new_content,,,,,,,https://meetings.hubspot.com/marketing-ga/mpe-sus-eng,https://cta-redirect.hubspot.com/cta/redirect/3391024/ee67caf4-850c-4a2c-aed5-b1116ddb5406,https://professionalprogramsmit.com/gateway/en/72/runway/order,/images/programs/op/sus/home-op-sustainability-sus-768x339.webp,/online-program-sustainability/,https://professionalprogramsmit.com/en/online-program-sustainability-sus-eng.html,72,
SIS,Sustainable Infrastructure Systems:,Planning and Operations,op,Online Program,A,6/7/2023,31/8/2023,8 weeks,8-10 hours of effort per week,"US$2,900 *",,Online,6.4,English,en-US,*Enroll now with a 15% discount. Only until  XXX,Benefit from 15% off early enrollment registration,4/4/2023,all_prog     ene_sus    ,,,,,,,https://meetings.hubspot.com/marketing-ga/mpe-sis-eng,https://cta-redirect.hubspot.com/cta/redirect/3391024/9bf4b471-d2d7-4735-9f52-224790dea972,https://professionalprogramsmit.com/gateway/en/105/runway/order,/images/programs/op/sis/home-op-sustainable-infrastructure-systems-sis-768x339.webp,/online-program-sustainable-infrastructure-systems-planning-and-operations/,https://professionalprogramsmit.com/en/online-program-sustainable-infrastructure-sis-eng.html,105,